epoch,custom_loss_mse_2,loss,lr,mae,mse,val_custom_loss_mse_2,val_loss,val_mae,val_mse
0,0.10871483,0.10871540538966656,0.0005,0.1663569,0.05773262,0.100450784,0.10074816870689392,0.1213138,0.03346316
1,0.100238115,0.10023868713062256,0.0005,0.12115706,0.03373526,0.09914391,0.09942260611057281,0.11541145,0.032261644
2,0.099116,0.09911655249539762,0.0005,0.103713125,0.025229445,0.09845183,0.09873043155670166,0.09604323,0.022142747
3,0.09861364,0.0986140891816467,0.0005,0.095722064,0.022088824,0.0981755,0.09845188736915589,0.09333802,0.021585017
4,0.09845886,0.09845935450401157,0.0005,0.09387896,0.021711871,0.09812639,0.09840234798192977,0.09229984,0.021383984
