epoch,custom_loss_mse,loss,lr,mae,mse,val_custom_loss_mse,val_loss,val_mae,val_mse
0,0.025152547284960747,0.025177378207445145,0.0005,0.11517510563135147,0.02354937046766281,0.011316533200442791,0.011337978765368462,0.09410613030195236,0.01425431203097105
1,0.010256590321660042,0.010278688743710518,0.00049363606,0.09216317534446716,0.013681674376130104,0.007992669939994812,0.008013936690986156,0.08980173617601395,0.013097919523715973
2,0.006611034274101257,0.006633547600358725,0.000491,0.08776100724935532,0.01263381913304329,0.004705452360212803,0.004728083033114672,0.08517379313707352,0.01208304613828659
3,0.004188147839158773,0.004211699590086937,0.0004889773,0.08253412693738937,0.011474557220935822,0.003199290484189987,0.003223324427381158,0.07886616885662079,0.010697660967707634
4,0.003243813756853342,0.0032685301266610622,0.00048727207,0.07793956249952316,0.010482927784323692,0.002689037472009659,0.00271401833742857,0.07582581043243408,0.01009286381304264
5,0.0028664800338447094,0.002891816897317767,0.00048576976,0.07593642920255661,0.010082638822495937,0.002573345322161913,0.002599029103294015,0.07452432066202164,0.009832379408180714
6,0.0025832820683717728,0.0026094941422343254,0.00048441155,0.07470036298036575,0.009843523614108562,0.0022196155041456223,0.0022461090702563524,0.07314497977495193,0.009578155353665352
7,0.0023079535458236933,0.002334992168471217,0.00048316256,0.07333862036466599,0.00957935769110918,0.001963833812624216,0.001991077559068799,0.0718233734369278,0.0093228779733181
8,0.0021394917275756598,0.0021671259310096502,0.000482,0.07203427702188492,0.00931559782475233,0.0018161314073950052,0.001843999489210546,0.07039357721805573,0.009042588993906975
9,0.001974376616999507,0.002002578228712082,0.00048090811,0.07080672681331635,0.009076927788555622,0.001638883026316762,0.0016674647340551019,0.06923270970582962,0.008828101679682732
10,0.001830098102800548,0.0018590354593470693,0.0004798754,0.06977225095033646,0.008883209899067879,0.001538369688205421,0.0015675323083996773,0.06827811896800995,0.008653104305267334
11,0.0017347390530630946,0.0017643407918512821,0.00047889314,0.06896542012691498,0.008732954040169716,0.0014711791882291436,0.0015009345952421427,0.06751701980829239,0.008510727435350418
12,0.0016511984867975116,0.0016813719412311912,0.0004779546,0.06822462379932404,0.008598691783845425,0.0014032595790922642,0.0014336281456053257,0.06679355353116989,0.008385531604290009
13,0.001568261650390923,0.0015990367392078042,0.00047705442,0.06750518828630447,0.008470209315419197,0.001347972545772791,0.001378991873934865,0.06596443802118301,0.008247902616858482
14,0.0014614147366955876,0.0014927168376743793,0.00047618823,0.06671701371669769,0.008339012041687965,0.0012608225224539638,0.0012924419716000557,0.06521453708410263,0.008122432045638561
15,0.0013627143343910575,0.001394770690239966,0.00047535248,0.06595330685377121,0.008215806446969509,0.001098037464544177,0.001130289281718433,0.06431426852941513,0.007987551391124725
16,0.0012907012132927775,0.001323217642493546,0.00047454415,0.06529538333415985,0.008106496185064316,0.0010940543143078685,0.0011268643429502845,0.06375843286514282,0.007896029390394688
17,0.0012446074979379773,0.0012776991352438927,0.0004737607,0.06473686546087265,0.008014240302145481,0.0010386750800535083,0.0010719954734668136,0.0632750391960144,0.007812666706740856
18,0.001210752408951521,0.0012443758314475417,0.000473,0.0642952173948288,0.007938777096569538,0.001038416987285018,0.0010722391307353973,0.06277459859848022,0.00773173663765192
19,0.0011780998902395368,0.001212217495776713,0.00047226014,0.06385727226734161,0.007867592386901379,0.0009643805678933859,0.0009986995719373226,0.06217842176556587,0.007647165097296238
20,0.001150952884927392,0.0011856028577312827,0.0004715395,0.06346174329519272,0.007802199572324753,0.0009403004660271108,0.0009750971803441644,0.0618370920419693,0.007597737945616245
21,0.0011270983377471566,0.001162060652859509,0.00047083668,0.06313320994377136,0.007750646211206913,0.0009433000814169645,0.0009785707807168365,0.061576925218105316,0.007545063272118568
22,0.0011079965624958277,0.0011435085907578468,0.00047015038,0.06283872574567795,0.007703730370849371,0.0009079615701921284,0.0009436995023861527,0.06124153733253479,0.007500278297811747
23,0.0010877285385504365,0.0011236623395234346,0.0004694795,0.06257908791303635,0.007663258351385593,0.0009089709492400289,0.0009451682562939823,0.06106899306178093,0.007474480662494898
24,0.001069476013071835,0.0011059092357754707,0.0004688231,0.06238782778382301,0.0076346746645867825,0.000911124749109149,0.0009477866697125137,0.060853634029626846,0.007440547458827496
25,0.0010445048101246357,0.0010814311681315303,0.0004681802,0.06212286278605461,0.007595596835017204,0.0008578746346756816,0.0008949764305725694,0.06059877574443817,0.007411958649754524
26,0.0010271902428939939,0.0010646256851032376,0.00046755004,0.06190142035484314,0.007564352359622717,0.0008689813548699021,0.0009065595804713666,0.0604274682700634,0.007378393318504095
27,0.0010134356562048197,0.0010512940352782607,0.0004669319,0.06170307844877243,0.007535264827311039,0.0008408979629166424,0.000878908031154424,0.06011875718832016,0.007343627512454987
28,0.0009988133097067475,0.0010370828676968813,0.0004663251,0.06151308864355087,0.007507133297622204,0.0008501232950948179,0.0008885462884791195,0.0600653812289238,0.007333431858569384
29,0.0009897025302052498,0.0010283836163580418,0.000465729,0.061356764286756516,0.0074834199622273445,0.000803958042524755,0.0008428269647993147,0.05977445840835571,0.007290367037057877
30,0.0009769111638888717,0.001016003079712391,0.00046514315,0.06119401752948761,0.007460040971636772,0.0008283083443529904,0.0008676000288687646,0.05967674031853676,0.007268725428730249
31,0.0009651839500293136,0.0010047547984868288,0.00046456695,0.06101781874895096,0.0074318526312708855,0.0008152868831530213,0.0008550186175853014,0.059491194784641266,0.007243304047733545
32,0.0009532934054732323,0.0009931988315656781,0.000464,0.06086365878582001,0.00740873022004962,0.0007893916917964816,0.000829533499199897,0.05931098386645317,0.007219228893518448
33,0.0009457311825826764,0.0009861814323812723,0.00046344183,0.06070328503847122,0.00738512584939599,0.0008069122559390962,0.0008475022041238844,0.059202976524829865,0.00719753373414278
34,0.0009364364668726921,0.000977270887233317,0.00046289206,0.06056984141469002,0.007365782745182514,0.0007700146525166929,0.0008110217750072479,0.05896279960870743,0.007175724022090435
35,0.0009293591137975454,0.0009706278797239065,0.0004623503,0.06042956933379173,0.007345013786107302,0.000782911607529968,0.0008243173942901194,0.05882059037685394,0.007151985540986061
36,0.0009247118141502142,0.0009664674871601164,0.00046181623,0.06031268090009689,0.007327407598495483,0.0008056757505983114,0.000847511924803257,0.058755312114953995,0.0071351793594658375
37,0.0009173516882583499,0.0009594705188646913,0.00046128954,0.060194842517375946,0.007310954388231039,0.0007881782948970795,0.0008304087677970529,0.05869726091623306,0.007134469226002693
38,0.0009102729964070022,0.000952761503867805,0.00046076992,0.06010628491640091,0.007299233227968216,0.0007515950128436089,0.0007942109950818121,0.05849643796682358,0.007104930002242327
39,0.0009019059943966568,0.0009447850752621889,0.00046025708,0.059978120028972626,0.007278714329004288,0.0007470617420040071,0.0007900489727035165,0.058395594358444214,0.007092970889061689
40,0.0008951337076723576,0.0009383696014992893,0.00045975077,0.05989870801568031,0.0072687906213104725,0.000761468312703073,0.0008048329618759453,0.05837210267782211,0.007088836748152971
41,0.0008909316966310143,0.0009345548460260034,0.00045925076,0.059845611453056335,0.007262271363288164,0.0007474171579815447,0.0007911532302387059,0.05820193141698837,0.007064040284603834
42,0.0008865853305906057,0.0009304283303208649,0.0004587568,0.05975969135761261,0.00725238211452961,0.0007495966856367886,0.0007936629699543118,0.05814780667424202,0.00705954572185874
43,0.0008795556495897472,0.0009238632046617568,0.0004582687,0.05968279391527176,0.007243284955620766,0.0007355051347985864,0.0007799299200996757,0.058209214359521866,0.007082444150000811
44,0.0008727784152142704,0.0009173975558951497,0.00045778626,0.059667982161045074,0.007249122951179743,0.0007645795703865588,0.000809338700491935,0.05815989151597023,0.007071326952427626
45,0.0008634697296656668,0.0009083939366973937,0.00045730924,0.05962081626057625,0.007248086389154196,0.0007275388343259692,0.0007726343465037644,0.05800514295697212,0.007051079999655485
46,0.0008376234909519553,0.0008829139405861497,0.00045683753,0.05949889495968819,0.007236022036522627,0.0006847200565971434,0.0007301326259039342,0.057822197675704956,0.007038922980427742
47,0.000819432723801583,0.0008650317322462797,0.00045637088,0.05939260870218277,0.007226959336549044,0.0006816114182583988,0.0007272976799868047,0.05779741331934929,0.007051324471831322
48,0.0008110983180813491,0.0008570155478082597,0.00045590918,0.059316035360097885,0.007218828424811363,0.0006699506193399429,0.0007159007363952696,0.05764824524521828,0.007017853204160929
49,0.000804947514552623,0.0008510462357662618,0.00045545227,0.059222739189863205,0.007203761022537947,0.000661814643535763,0.0007080203504301608,0.057596947997808456,0.0070151593536138535
50,0.0007982564275152981,0.0008446809370070696,0.000455,0.059166472405195236,0.0071973116137087345,0.0006581844063475728,0.0007046398823149502,0.057514309883117676,0.007008085492998362
51,0.000794391380622983,0.000840997148770839,0.00045455224,0.05908836051821709,0.007185001391917467,0.0006504940683953464,0.0006971850525587797,0.05743717402219772,0.007001436781138182
